Date Scraped,Job Title,Company Name,Location,Salary Range,Date Posted,Applicants,Job Level,Industry,Description,Recruiter Name,Recruiter Position,Job Link
2024-04-01,Junior React Developer,Team Remotely Inc,"Detroit, MI",NA,18 hours ago,Over 200 applicants,Entry level,Software Development,"This is a remote position. Junior React Developer (1 year experience, remote)Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $59K-$69K Per Annum.Responsibilities:Develop and implement high-quality, scalable, and maintainable React components for our web applications. Collaborate with the development team to translate design mock-ups into functional features. Participate in code reviews and provide constructive feedback to enhance the overall code quality. Debug and resolve software defects and issues. Stay updated with the latest industry trends and best practices in front-end development. Requirements:Proficiency in HTML, CSS, and JavaScript. Strong understanding of React and its ecosystem. Experience working with RESTful APIs and integrating backend services. Familiarity with version control systems (e.g., Git). Good problem-solving and analytical skills. Excellent communication and collaboration abilities. Ability to learn quickly and adapt to new technologies and frameworks.",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3878778128&keywords=software%20engineer&location=united%20states
2024-04-01,Junior Software Development Engineer,Team Remotely Inc,"Minneapolis, MN",NA,18 hours ago,97 applicants,Entry level,Software Development,"This is a remote position. Junior Software Development Engineer (1 year experience, remote)Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $58K-$68K Per Annum.Description:As a Junior Software Development Engineer, you will play a crucial role in the design, development, and maintenance of our software applications. You will work closely with senior engineers and collaborate with cross-functional teams to deliver high-quality solutions. This is an exciting opportunity to kick-start your career in software development and contribute to innovative projects in a supportive and collaborative environment.Responsibilities:Collaborate with the development team to understand project requirements and objectives Participate in the entire software development lifecycle, from design to deployment Write clean, efficient, and maintainable code following best practices and coding standards Contribute to the development of both front-end and back-end components Collaborate with designers to ensure a visually appealing and user-friendly interface Integrate APIs and web services to enable seamless communication between different systems Conduct testing and debugging to ensure the functionality and performance of applications Participate in code reviews and provide constructive feedback to improve code quality Stay up-to-date with the latest software development trends and technologies Document technical specifications and project details Qualifications:Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent work experience) Solid understanding of software development principles and best practices Proficiency in at least one programming language (e.g., Java, C++, Python, Ruby) Familiarity with front-end development languages such as HTML, CSS, and JavaScript Knowledge of relational databases and SQL Understanding of version control systems (e.g., Git) Strong problem-solving and analytical skills Excellent communication and collaboration abilities Ability to work independently and within a team Eagerness to learn and adapt to new technologies Preferred Qualifications:Experience with software development projects (personal or professional) Familiarity with front-end frameworks/libraries like React, Angular, or Vue.js Knowledge of back-end frameworks (e.g., Spring, Django, Ruby on Rails) Exposure to cloud platforms such as AWS, Azure, or Google Cloud Understanding of Agile development methodologies Basic understanding of software testing principles and methodologies Benefits:Flexible vacation, unlimited paid holidays, and paid sick days 401(k) with up to 2% employer match Health, vision, and dental insurance",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3878777202&keywords=software%20engineer&location=united%20states
2024-04-01,Junior Frontend Engineer (JavaScript/HTML/CSS),Team Remotely Inc,"Detroit, MI",NA,18 hours ago,142 applicants,Entry level,Software Development,"This is a remote position.Junior Frontend Engineer (JavaScript/HTML/CSS) (1 year experience, remote)Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $56K-$66K Per Annum.ResponsibilitiesAutonomy of project implementation Efficient in coding review Reporting directly to owners Agile work-flow Building customer-facing applications Meta-development opportunities The Successful ApplicantFront-end web experience coding in JavaScript/HTML/CSS. Willing to mentor junior talent. Eager to move into a lead role with rapid expected company growth. Comfortable working in a remote role. A dependable individual who can take initiative on cleaning up and expanding projects. Benefits:Competitive salary and benefits package. Remote work flexibility! Enjoy the freedom and convenience of working from anywhere with a stable internet connection. Opportunity to work on challenging and impactful projects that drive business results. Collaborative and supportive work environment. Continuous learning and development opportunities.",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3878776397&keywords=software%20engineer&location=united%20states
2024-04-01,Entry Level Software Engineer (Remote),Engtal,United States,"$90,000.00/yr - $115,000.00/yr",6 hours ago,Over 200 applicants,Entry level,Financial Services,"Please note: If you&#39;re interested in this position, please only apply via LinkedIn and don&#39;t reach out to our team directly as this can slow down our hiring process.We are seeking a highly motivated and technically skilled Entry-Level Software Engineer to join our dynamic team. As a Software Engineer, you will be involved in the design, development, testing, and maintenance of software applications. This is an exciting opportunity for a recent graduate or an individual with foundational programming skills to grow within a collaborative and innovative work environment.Key Responsibilities:Collaborate with cross-functional teams to understand project requirements and specifications.Assist in the design and development of software solutions under the guidance of senior engineers.Write clean, efficient, and well-documented code.Participate in code reviews to ensure code quality and adherence to coding standards.Debug and troubleshoot software issues, providing timely resolutions.Contribute to the testing process, including unit testing and participation in system testing.Stay updated on emerging technologies and industry best practices to enhance personal and team proficiency.Work closely with senior engineers to enhance your technical skills and understanding of software development methodologies.Communicate effectively with team members to share insights, ideas, and progress updates.Qualifications:Bachelor&#39;s degree in Computer Science, Software Engineering, or a related field.Strong understanding of programming languages such as Java, Python, C++, or similar.Familiarity with software development tools and version control systems.Knowledge of basic software development principles and practices.Eagerness to learn and adapt to new technologies and methodologies.Strong problem-solving and analytical skills.Excellent communication and collaboration skills.Internship experience or personal projects showcasing programming skills is a plus.Ability to work in a fast-paced and collaborative team environment.",Christopher James,Working with the best financial professional on the west coast of the US,https://www.linkedin.com/jobs/search/?currentJobId=3876015790&keywords=software%20engineer&location=united%20states
2024-04-01,JavaScript Developer,Team Remotely Inc,"Boston, MA",NA,18 hours ago,102 applicants,Entry level,Software Development,"This is a remote position. JavaScript Developer (1 year experience, remote)Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $59K-$69K Per Annum.Description:As a JavaScript Developer, you will be responsible for developing and implementing web applications, user interfaces, and other interactive elements using JavaScript, HTML, and CSS. You will collaborate with cross-functional teams to understand project requirements, design innovative solutions, and deliver high-quality code.Responsibilities:Develop interactive web applications using JavaScript, HTML, and CSS. Collaborate with designers and product managers to implement user interfaces that are visually appealing and intuitive. Write clean, efficient, and reusable code. Ensure the technical feasibility of UI/UX designs. Optimize applications for maximum speed and scalability. Collaborate with back-end developers to integrate front-end and back-end functionalities. Stay up-to-date with the latest industry trends and best practices in JavaScript development. Requirements:Bachelor's degree in Computer Science, Software Engineering, or a related field. Proven work experience as a JavaScript Developer or Front-End Developer. Strong proficiency in JavaScript, HTML, and CSS. Experience with modern JavaScript frameworks such as React, Angular, or Vue.js. Familiarity with server-side technologies such as Node.js. Knowledge of responsive design and mobile-first development. Understanding of cross-browser compatibility issues and ways to work around them. Excellent problem-solving skills and attention to detail. Strong communication and collaboration abilities. Ability to work effectively in a fast-paced, deadline-driven environment. A portfolio of past projects or code samples will be highly advantageous.",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3878778129&keywords=software%20engineer&location=united%20states
2024-04-01,Full Stack Developer,Vivid Mortgages Inc,"New York, NY",NA,19 hours ago,115 applicants,Entry level,Real Estate,"Job DescriptionFull Stack Developer needed in the office ( THIS IS NOT A REMOTE POSITION ) should be highly skilled with PHP MySQl/SQL, HTML to Build/edit/modify back and front end of directory website and app.Well compensation and bonus .",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3878761149&keywords=software%20engineer&location=united%20states
2024-04-01,Junior Web Developer,Team Remotely Inc,"Detroit, MI","$57,000.00/yr - $67,000.00/yr",18 hours ago,Over 200 applicants,Entry level,Software Development,"This is a remote position. Junior Web Developer (1 year experience, remote)Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $57K-$67K Per Annum.Description:You will work closely with our senior developers to design, develop, and maintain high-quality websites and web applications. This is an excellent opportunity to gain hands-on experience in a collaborative environment and contribute to exciting projects.Responsibilities:Collaborate with the development team to understand project requirements and design web solutions Write clean, efficient, and well-structured code using HTML, CSS, and JavaScript Assist in the development and implementation of responsive and user-friendly web interfaces Integrate front-end designs with back-end functionality using appropriate technologies Conduct thorough testing and debugging to ensure seamless functionality Assist in website maintenance, updates, and enhancements Stay up-to-date with industry trends and emerging web development technologies Collaborate with cross-functional teams to deliver projects on time and within scope Document technical specifications, project details, and development processes Qualifications:Bachelor's degree in Computer Science, Web Development, or a related field Solid understanding of web development principles and best practices Proficiency in HTML, CSS, and JavaScript Familiarity with front-end frameworks such as Bootstrap or Foundation Basic understanding of back-end development technologies (e.g., PHP, Python, or Ruby) Knowledge of version control systems (e.g., Git) Experience with responsive web design and mobile-first development Strong problem-solving and analytical skills Excellent communication and teamwork abilities Self-motivated with a strong desire to learn and grow as a developer Preferred Qualifications:Previous experience with web development projects (personal or professional) Knowledge of JavaScript frameworks/libraries (e.g., React, Angular, or Vue.js) Familiarity with content management systems (e.g., WordPress, Drupal, or Joomla) Understanding of SEO principles and best practices Experience with web accessibility standards and guidelines Knowledge of web security best practices",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3878777195&keywords=software%20engineer&location=united%20states
2024-04-01,Junior Full Stack Developer React/Python,Team Remotely Inc,"Kansas City, KS","$56,000.00/yr - $66,000.00/yr",12 hours ago,Be among the first 25 applicants,Entry level,Software Development,"Junior Full Stack Developer React/Python (1 year experience, onsite)Be part of our future! This job posting builds our talent pool for potential future openings. Well compare your skills and experience against both current and future needs. If theres a match, well contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $56K-$66K Per Annum.Responsibilities:Architect, design, and implement solutions to complex engineering problems Provide coding expertise in Python (FastAPI and Django), React JS, TypeScript, SQL, NoSQL, and AWS to develop frontend and backend applications. Collaborate with other developers to deliver working software solutions Assist project management with planning, product roadmap planning, and release planning Assist with code reviews and technical reviews Qualifications:1 year of professional experience with React JS and Python Bachelors degree in computer science, engineering, or related Good communication skills, both oral and written Nice to Have experience:Mobile app development in React Native Thirst For Tech Learning Benefits401(k) matching Flexible spending account Flextime Health insurance Health savings account Paid time off Relocation assistance Tuition reimbursement",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3879155024&keywords=software%20engineer&location=united%20states
2024-04-01,Software Developer - Junior Level(Remote),SynergisticIT,"New York, NY",NA,13 hours ago,Be among the first 25 applicants,Entry level,IT Services and IT Consulting,"For more than 12+ years Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a Job we make careers.All Positions are open for all visas and US citizensWe are matchmakers we provide clients with candidates who can perform from day 1 of starting work. In this challenging economy every client wants to save $$$'s and they want the best value for their money. Jobseekers need to self-evaluate if they have the requisite skills to meet client requirements and needs as Clients now post covid can also hire remote workers which increases even more competition for jobseekers.We at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like apple, google, Paypal, western union, Client, visa, walmart labs etc to name a few.We have an excellent reputation with the clients. Currently, We are looking for entry-level software programmers, Java Full stack developers, Python/Java developers, Data analysts/ Data Scientists, Machine Learning engineers for full time positions with clients.Who Should Apply Recent Computer science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in IT IndustryWe assist in filing for STEM extension and also for H1b and Green card filing to CandidatesWe also offer optionally Skill and technology enhancement programs for candidates who are either missing skills or are lacking Industry/Client experience with Projects and skills. Candidates having difficulty in finding jobs or cracking interviews or who wants to improve their skill portfolio. If they are qualified with enough skills and have hands on project work at clients then they should be good to be submitted to clients. Shortlisting and selection is totally based on clients discretion not ours.please check the below links to see success outcomes of our candidates and our participation at different Tech industry events and how we are different from other organizations in helping Jobseekers secure Tech careersWe regularly interact with the Top Tech companies to give our candidates a competitive advantage-Please see us exhibiting at Oracle Cloud world /Oracle Java one (Las vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023(url removed)(url removed)(url removed)(url removed)For preparing for interviews please visitWe are looking for the right matching candidates for our clientsPlease apply via the job postingREQUIRED SKILLS For Java /Full Stack/Software ProgrammerBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleProject work on the skillsKnowledge of Core Java , javascript , C++ or software programmingSpring boot, Microservices, Docker, Jenkins and REST API's experienceExcellent written and verbal communication skillsFor data Science/Machine learning PositionsRequired SkillsBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITProject work on the technologies neededHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleKnowledge of Statistics, SAS, Python, Computer Vision, data visualization toolsExcellent written and verbal communication skillsPreferred skills: NLP, Text mining, Tableau, PowerBI, SAS, TensorflowIf you get emails from our skill enhancement team please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team who only connect with candidates who are matching client requirements.No phone calls please. Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3879096306&keywords=software%20engineer&location=united%20states
2024-04-01,Software Developer,Esker U.S.,"Middleton, WI",NA,15 hours ago,40 applicants,Entry level,Software Development,"Description*This role is hybrid out of our Madison, WI office*The Software Developer at Esker contributes to company and product success by developing, updating and improving code. Incumbents apply software engineering principles to design, analyze and test new code, while maintaining deep knowledge of Esker software practices.Key Tasks/DutiesDiscuss and coordinate development approaches with team members and review team members' code to maximize efficiency and accuracy; foster a psychologically safe environment that encourages feedback and new ideas; present outcome of completed user stories during sprint reviews; document processes.Develop code using selected languages, frameworks, and structures.Document new code development and the reasoning behind the development to improve team productivity and understanding; pro-actively share knowledge and experience.Contribute to a high-functioning team within an agile framework; demonstrate progress in development work and code review; escalate issues appropriately.Investigate reported errors and problems; utilize documented solutions; create innovative solutions to new issues.Improve understanding of the technologies in use to expand the projects and tasks handled.RequirementsEducational Requirements:Bachelor's degree in Computer Sciences or related field preferred OR equivalent work experienceEssential Experience2+ years of professional experience developing software in a production environmentExperience developing web software as part of a teamExperience using relational databases and SQLComfort with Unix/Linux command-line toolsUI/UX experience a plus",NA,NA,https://www.linkedin.com/jobs/search/?currentJobId=3876268673&keywords=software%20engineer&location=united%20states
